gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nch,Nhh,Th,lnLh,AICh
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0,9951.290795,1333.052249,9292.904257,-54770.16706,109546.3341
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0t120,10422.79998,1502.122694,9173.130716,-83448.47033,166902.9407
g1,n10e4,constant,constant,n500,n200,rad50k,bot,all,10554.77277,1592.536238,8971.022767,-137770.8588,275547.7176
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0,9859.96241,1241.889222,9274.59711,-54037.26158,108080.5232
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0t120,9759.225635,1107.334687,9582.608813,-82401.4766,164808.9532
g1,n10e4,constant,constant,n500,n200,rad50k,bot,all,10039.93579,1171.765149,9672.011599,-135226.1368,270458.2737
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0,10395.01025,1708.612911,8117.954824,-55431.28112,110868.5622
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0t120,9999.0686,1493.930859,8353.096329,-84245.20672,168496.4134
g1,n10e4,constant,constant,n500,n200,rad50k,bot,all,10056.701,1395.483984,8821.65996,-138346.8561,276699.7122
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0,9891.80501,871.2436725,10532.79969,-54904.21103,109814.4221
g1,n10e4,constant,constant,n500,n200,rad50k,bot,t0t120,10108.0001,911.8494954,10708.59446,-83270.59739,166547.1948
g1,n10e4,constant,constant,n500,n200,rad50k,bot,all,10191.67844,1058.177278,10380.25431,-136972.1533,273950.3065
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0,9860.30784,203.0005247,12053.95025,-6083.00518,12172.01036
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0t120,10359.65557,78.43801449,12604.07694,-9192.646312,18391.29262
g1,n10e4,constant,constant,n500,n50,rad10k,bot,all,10070.0282,75.21586554,12682.01138,-14864.76422,29735.52845
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0,10274.40113,994.3787265,9886.586339,-6088.987028,12183.97406
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0t120,10121.3904,1058.836121,9510.427766,-9085.417937,18176.83587
g1,n10e4,constant,constant,n500,n50,rad10k,bot,all,10306.69645,44.33127,11970.77139,-15002.82866,30011.65733
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0,10107.43648,543.3180696,11539.31572,-6209.6725,12425.345
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0t120,10216.94713,691.8977325,11182.77946,-9282.342019,18570.68404
g1,n10e4,constant,constant,n500,n50,rad10k,bot,all,10155.41378,57.06996539,12594.34425,-15300.5578,30607.11561
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0,9418.196137,59.81662514,12162.27766,-5913.88316,11833.76632
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0t120,9864.786903,657.8603161,10919.27721,-8965.126339,17936.25268
g1,n10e4,constant,constant,n500,n50,rad10k,bot,all,9783.243657,58.44125784,12180.34394,-14597.55678,29201.11355
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0,10263.22582,10,12029.85089,-6090.777473,12187.55495
g1,n10e4,constant,constant,n500,n50,rad10k,bot,t0t120,9845.538105,10,11706.59683,-9138.79764,18283.59528
g1,n10e4,constant,constant,n500,n50,rad10k,bot,all,10137.6711,10,11903.26102,-14988.91824,29983.83647
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0,9965.323778,10.12850835,12174.26375,-30317.31027,60640.62053
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0t120,10312.8528,1419.305286,9095.270893,-45518.39974,91042.79949
g1,n10e4,constant,constant,n500,n50,rad50k,bot,all,9824.473352,11.14959491,12137.43067,-74483.26239,148972.5248
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0,10289.12539,1586.832345,8375.428796,-30103.29688,60212.59377
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0t120,10280.4543,1601.835577,8361.100097,-45266.99036,90539.98071
g1,n10e4,constant,constant,n500,n50,rad50k,bot,all,10292.79135,1513.752175,8661.485589,-74315.08759,148636.1752
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0,9619.626794,10.23655686,12062.62419,-29594.8331,59195.66619
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0t120,9721.609572,1138.932274,9403.27569,-44935.49606,89876.99212
g1,n10e4,constant,constant,n500,n50,rad50k,bot,all,9562.508424,11.26568345,11955.38113,-72731.81693,145469.6339
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0,10028.42051,1457.894853,8969.888737,-30099.60897,60205.21794
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0t120,10317.62769,1538.999011,8962.99779,-45362.54814,90731.09628
g1,n10e4,constant,constant,n500,n50,rad50k,bot,all,10132.71774,1528.187461,8877.163094,-74030.62617,148067.2523
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0,9775.644132,208.6224599,11928.94214,-30142.48028,60290.96056
g1,n10e4,constant,constant,n500,n50,rad50k,bot,t0t120,9844.283663,757.6916465,10857.16878,-45228.2212,90462.4424
g1,n10e4,constant,constant,n500,n50,rad50k,bot,all,9841.694139,1115.517688,9886.482275,-74260.75252,148527.505
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0,10074.33031,1009.044188,9932.523422,-3035535.733,6071077.467
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0t120,10112.72548,1095.233748,9739.818283,-4554560.58,9109127.159
g1,n10e4,constant,constant,n500,n50,wgs,bot,all,10066.28866,1017.300659,9903.785989,-7436222.482,14872450.96
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0,10006.65143,837.1946752,10303.54638,-3028889.446,6057784.892
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0t120,9860.604847,724.6952667,10471.53033,-4555542.792,9111091.584
g1,n10e4,constant,constant,n500,n50,wgs,bot,all,10015.30769,1079.091568,9717.542572,-7435038.728,14870083.46
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0,10014.18405,991.8511469,10005.451,-3031195.168,6062396.335
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0t120,10163.03827,1103.305505,9829.071068,-4542540.004,9085086.008
g1,n10e4,constant,constant,n500,n50,wgs,bot,all,9989.356995,915.6967153,10194.31858,-7427428.916,14854863.83
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0,10051.27923,1076.596778,9826.522742,-3037421.503,6074849.006
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0t120,10067.99892,1045.808724,9923.708174,-4558373.495,9116752.989
g1,n10e4,constant,constant,n500,n50,wgs,bot,all,9979.783931,977.9861097,10063.28296,-7442257.758,14884521.52
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0,10013.84942,1052.084308,9842.462034,-3028197.486,6056400.972
g1,n10e4,constant,constant,n500,n50,wgs,bot,t0t120,10021.97946,1003.75804,9935.133262,-4549227.283,9098460.567
g1,n10e4,constant,constant,n500,n50,wgs,bot,all,10018.78714,956.9120442,10078.44523,-7421719.128,14843444.26
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0,8560.813126,18.09892699,12978.96219,-7883.021093,15772.04219
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0t120,7650.662037,10,10867.73032,-12383.13857,24772.27715
g1,n10e4,td100,l99,n500,n100,rad10k,bot,all,8873.464151,262.2008797,11167.18969,-20385.65675,40777.31351
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0,8327.926491,10,13781.21652,-7924.47151,15854.94302
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0t120,7147.188039,10,11273.85357,-12567.68938,25141.37877
g1,n10e4,td100,l99,n500,n100,rad10k,bot,all,8036.859533,10,11831.9464,-20663.89334,41333.78669
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0,8629.659822,10,12859.53135,-7968.355409,15942.71082
g1,n10e4,td100,l99,n500,n100,rad10k,bot,t0t120,7415.35449,137.2703921,10448.01346,-12473.38662,24952.77323
g1,n10e4,td100,l99,n500,n100,rad10k,bot,all,8657.192989,1761.481389,7464.542483,-20291.76035,40589.5207
