gentime,NeAnc,td,lambda,sampn,data,Model,scheme,Neh,Nec,lnL,AIC_cons,Neh_change,Nec_change,T,lnL_change,AIC_change,delta
g3,n10e3,td190,l95,n50,rad50k,Constant,all,857.3067653,857.3067653,-14272.20789,28546.41578,812.9414995,882.4403376,10.00054185,-14268.88188,28543.76376,2.65202
g3,n10e3,td190,l95,n50,rad50k,Constant,all,879.9129973,879.9129973,-14913.58082,29829.16165,888.469151,814.5775609,84.75453697,-14913.45517,29832.91034,-3.74869
g3,n10e3,td190,l95,n50,wgs,Constant,all,850.9699828,850.9699828,-1484921.672,2969845.344,865.2735048,751.2750544,87.8900242,-1484888.152,2969782.304,63.04
g3,n10e3,td190,l95,n50,wgs,Constant,all,846.5483402,846.5483402,-1478634.794,2957271.589,860.7317854,748.9164843,87.87375897,-1478602.359,2957210.718,60.871
g3,n10e3,td190,l95,n50,wgs,Constant,all,817.8479606,817.8479606,-1466449.983,2932901.965,827.4608838,744.022315,107.4697836,-1466435.344,2932876.688,25.277
g3,n10e3,td190,l95,n50,wgs,Constant,all,829.6767662,829.6767662,-1476214.92,2952431.841,871.4027472,545.9411162,119.9741602,-1475961.303,2951928.606,503.235
g3,n10e3,td190,l95,n50,wgs,Constant,all,876.5751074,876.5751074,-1472094.313,2944190.625,837.5532394,902.9786794,10.11816076,-1471768.298,2943542.596,648.029
g3,n10e4,td100,l99,n100,rad10k,Constant,all,9730.715755,9730.715755,-33945.38584,67892.77167,9834.048829,2892.908426,89.09415997,-33939.49909,67884.99818,7.77349
g3,n10e4,td100,l99,n100,rad10k,Constant,all,9645.341366,9645.341366,-33950.35966,67902.71931,9787.414473,1771.529691,118.2807949,-33942.16203,67890.32407,12.39524
g3,n10e4,td100,l99,n100,rad10k,Constant,all,9618.890863,9618.890863,-34657.56977,69317.13954,9833.264691,1191.750268,119.7333214,-34638.04246,69282.08492,35.05462
g3,n10e4,td100,l99,n100,rad10k,Constant,all,9671.677518,9671.677518,-34558.70491,69119.40982,9821.630141,1695.607159,119.5021077,-34548.7653,69103.53059,15.87923
g3,n10e4,td100,l99,n100,rad10k,Constant,all,9755.488504,9755.488504,-34886.24074,69774.48147,9843.823065,6676.369766,28.80836678,-34882.20337,69770.40675,4.07472
g3,n10e4,td100,l99,n100,rad50k,Constant,all,9771.119662,9771.119662,-171536.3285,343074.657,9834.766355,5944.197373,47.06287552,-171525.7862,343057.5725,17.0845
g3,n10e4,td100,l99,n100,rad50k,Constant,all,9647.567813,9647.567813,-170774.5277,341551.0555,9784.197687,1880.991929,118.4392963,-170735.7521,341477.5042,73.5513
g3,n10e4,td100,l99,n100,rad50k,Constant,all,9479.864514,9479.864514,-169452.9589,338907.9178,9626.784449,1736.583244,119.797615,-169409.1587,338824.3174,83.6004
g3,n10e4,td100,l99,n100,rad50k,Constant,all,9589.713628,9589.713628,-170983.35,341968.7,9736.504467,1727.565735,119.9372259,-170936.3303,341878.6605,90.0395
