gentime,NeAnc,td,lambda,maxn,sampn,data,model,scheme,Nh,Nc,Na,T,Ta,lnL,AIC2C,Nh1C,Nc1C,T1C,lnL1C,AIC1C,NhC,NcC,lnL,AICC,AIC2C-AIC1C,AIC2C-AICC
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10233.27506,8623.856499,100763.7912,84.5672733,10482.5476,-30525721.61,61051453.21,74859.41716,54.54932902,119.9805367,-30743780.79,61487567.58,64458.38428,64458.38428,-32078649.7,64157301.41,-436114.3667,-3105848.196
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10012.72982,9870.05116,100124.5721,90.57328361,10092.75417,-46589817.94,93179645.88,65582.91132,403.2100069,29.12469326,-48039278.78,96078563.56,63982.51825,63982.51825,-48208747.12,96417496.24,-2898917.682,-3237850.369
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,10133.17691,9313.795147,101081.3596,107.1860484,10419.64547,-82519841.83,165039693.7,65066.21966,7988.636367,57.36858027,-83999244.64,167998495.3,64728.39794,64728.39794,-84086421.29,168172844.6,-2958801.627,-3133150.915
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10014.66574,9348.60398,99207.04979,84.51562213,9868.99409,-30552550.11,61105110.23,74960.1448,38.31077141,88.33771783,-30768054.25,61536114.51,64497.35012,64497.35012,-32109161.88,64218325.76,-431004.2828,-3113215.539
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10040.90124,13189.86237,99595.58749,93.08985553,9956.852089,-46567098.71,93134207.42,65650.94764,447.4836128,29.08438051,-48019615.89,96039237.79,64208.20329,64208.20329,-48163149.4,96326300.8,-2905030.363,-3192093.38
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9990.983634,10525.05329,99419.98278,106.9624353,9878.502833,-82618443.51,165236897,65072.3596,8406.816549,57.58653414,-84106386.76,168212779.5,64795.15642,64795.15642,-84183268.25,168366538.5,-2975882.51,-3129641.477
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10229.06213,9021.074541,100401.0645,84.56242945,10384.97133,-30559074.44,61118158.89,74926.65919,54.67250344,119.6638136,-30809029.37,61618064.74,64566.02459,64566.02459,-32139491.43,64278984.87,-499905.8491,-3160825.982
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0t120,10052.85598,10161.39529,99606.2807,90.55123485,9995.400577,-46637726.74,93275463.49,65661.2889,409.2854178,29.11259794,-48108049.1,96216104.21,64082.68275,64082.68275,-48273875.45,96547752.89,-2940640.719,-3272289.403
g1,n10e4,constant,constant,n500,n100,wgs,2change,all,9886.774387,12398.60139,99185.03707,106.8629436,9729.88288,-82614777.21,165229564.4,65110.91959,7702.82447,57.57891243,-84185213.82,168370433.6,64770.6085,64770.6085,-84279427.77,168558857.5,-3140869.231,-3329293.126
g1,n10e4,constant,constant,n500,n100,wgs,2change,t0,10206.0261,9161.439095,101585.1006,84.36450331,10562.62136,-30597472.72,61194955.45,75178.37905,53.44435485,118.7658102,-30819773.59,61639553.18,64663.52904,64663.52904,-32158022.84,64316047.69,-444597.7351,-3121092.241
